"","Source","Zone","SubzoneGroup","Subzone","BGC","BGCName","ZoneName","SubzoneName","VariantName","General.Location","OldSubzoneLabel","DataSet","State","Notes"
"54","USA_2019","ESSF","ESSF_dry","ESSFxc","ESSFxc_CO","Colorado Very Dry Cold ESSF","Engelmann Spruce – Subalpine Fir","Very Dry Cold","Colorado","Colorado","ESSFcoz","USA","CO",""
"55","USA_2019","ESSF","ESSF_dry","ESSFdh","ESSFdh_WA","Washington Dry Hot ESSF","Engelmann Spruce – Subalpine Fir","Dry Hot","Washington","NW Washington","ESSFdhz","USA","WA",""
"56","USA_2019","ESSF","ESSF_dry","ESSFdk","ESSFdk_MT","Montana Dry Cool ESSF","Engelmann Spruce – Subalpine Fir","Dry Cool","Montana","SE BC & NW Montana","ESSFdkz","USA","MT",""
"57","USA_2019","ESSF","ESSF_meso","ESSFmw","ESSFmw_WA","Washington Moist Warm ESSF","Engelmann Spruce – Subalpine Fir","Moist Warm","Washington","NW Washington","ESSFmwz","USA","WA",""
"58","USA_2019","ESSF","ESSF_dry","ESSFxk","ESSFxk_UT","Utah Very Dry Cool ESSF","Engelmann Spruce – Subalpine Fir","Very Dry Cool","Utah","Utah","ESSFutz","USA","UT",""
"59","USA_2019","ESSF","ESSF_wet","ESSFwh","ESSFwh_MT","Montana Wet Hot ESSF","Engelmann Spruce – Subalpine Fir","Wet Hot","Montana","NE Washington & NW Montana","ESSFwhz","USA","MT",""
"60","USA_2019","ESSF","ESSF_wet","ESSFwm","ESSFwm_MT","Montana Wet Mild ESSF","Engelmann Spruce – Subalpine Fir","Wet Mild","Montana","NE Washington & NW Montana","ESSFwmz","USA","MT",""
"61","USA_2019","ESSF","ESSF_dry","ESSFxw","ESSFxw_OR","Oregon Very Dry Warm ESSF","Engelmann Spruce – Subalpine Fir","Very Dry Warm","Oregon","NE Oregon","ESSFxcy","USA","OR",""
"62","USA_2019","ESSF","ESSF_dry","ESSFxc","ESSFxc_WA","Washington Very Dry Cold ESSF","Engelmann Spruce – Subalpine Fir","Very Dry Cold","Washington","WC Washington","ESSFxcz","USA","WA",""
"63","USA_2019","ESSF","ESSF_dry","ESSFxh","ESSFxh_WA","Washington Very Dry Hot ESSF","Engelmann Spruce – Subalpine Fir","Very Dry Hot","Washington","NE Washington & NW Montana","ESSFxhz","USA","WA",""
"64","USA_2019","ESSF","ESSF_dry","ESSFdm","ESSFdm_ID","Idaho Dry Mild ESSF","Engelmann Spruce – Subalpine Fir","Dry Mild","Idaho","EC Idaho & WC Montana","ESSFxmz","USA","ID",""
"65","USA_2019","ESSF","ESSF_dry","ESSFxk","ESSFxk_MT","Montana Very Dry Cool ESSF","Engelmann Spruce – Subalpine Fir","Very Dry Cool","Montana","WC Montana","ESSFxxz","USA","MT",""
"66","AB_2018","MGP","MGP","MGPdm","MGPdm","Dry Mixed Grass MGP","Mixed-grass Prairie","Dry Mixed Grass","","Alberta","FF  dm","USA","MT",""
"67","AB_2018","MGP","MGP","MGPmg","MGPmg","Mixed Grass MGP","Mixed-grass Prairie","Mixed Grass","","Alberta","FF  mg","USA","MT",""
"68","AB_2018","FG","FG","FGff","FGff","Foothills FG","Fescue Grassland","Foothills","","SW Alberta","FG  ff","AB","AB",""
"69","AB_2018","FG","FG","FGnf","FGnf","Northern FG","Fescue Grassland","Northern","","S Alberta","FG  nf","AB","AB",""
"70","USA_2019","GBD","GBD","GBDxx","GBDxx_UT","Utah Very Dry Very Hot GBD","Great Basin Desert","Very Dry Very Hot","Utah","SE Utah","GBD xxw","USA","UT",""
"71","USA_2019","GBD","GBD","GBDdw","GBDdw_UT","Utah Dry Warm GBD","Great Basin Desert","Dry Warm","Utah","E Nevada & Utah & SW Wyoming","GBD xxx","USA","UT",""
"72","USA_2019","GBD","GBD","GBDxh","GBDxh_NV","Nevada Very Dry Hot GBD","Great Basin Desert","Very Dry Hot","Nevada","E California & W Nevada","GBD xxy","USA","NV",""
"73","USA_2019","GO","GO","GOun","GOun_CO","Colorado Undifferentiated GO","Gambel Oak","Undifferentiated","Colorado","Colorado & Utah","GO  coz","USA","CO",""
"74","USA_2019","ICH","ICH_dry","ICHdh","ICHdh_ID","Idaho Dry Hot ICH","Interior Cedar – Hemlock","Dry Hot","Idaho","Idaho & W Montana","ICH dhz","USA","ID",""
"75","USA_2019","ICH","ICH_dry","ICHdw","ICHdw_ID","Idaho Dry Warm ICH","Interior Cedar – Hemlock","Dry Warm","Idaho","NE Washington & N Idaho","ICH dwz","USA","ID",""
"76","USA_2019","ICH","ICH_meso","ICHmw","ICHmw_MT","Montana Moist Warm ICH","Interior Cedar – Hemlock","Moist Warm","Montana","NW Montana","ICH mwy","USA","MT",""
"77","USA_2019","ICH","ICH_meso","ICHmh","ICHmh_MT","Montana Moist Hot ICH","Interior Cedar – Hemlock","Moist Hot","Montana","NW Montana","ICH mwz","USA","MT",""
"78","USA_2019","ICH","ICH_dry","ICHxw","ICHxw_WA","Washington Very Dry Warm ICH","Interior Cedar – Hemlock","Very Dry Warm","Washington","NE Washington","ICH xwz","USA","WA",""
"79","USA_2019","IDF","IDF_hot","IDFxm","IDFxm_CO","Colorado Very Dry Mild IDF","Interior Douglas-fir","Very Dry Mild","Colorado","N & C Colorado","IDF coz","USA","CO",""
"80","USA_2019","IDF","IDF","IDFdh","IDFdh_MT","Montana Dry Hot IDF","Interior Douglas-fir","Dry Hot","Montana","W Montana","IDF dhx","USA","MT",""
"81","USA_2019","IDF","IDF","IDFdh","IDFdh_WA","Washington Dry Hot IDF","Interior Douglas-fir","Dry Hot","Washington","NE Washington","IDF dhy","USA","WA",""
"82","USA_2019","IDF","IDF_cool","IDFdk","IDFdk_WA","Washington Dry Cool IDF","Interior Douglas-fir","Dry Cool","Washington","NC Washington","IDF dky","USA","WA",""
"83","USA_2019","IDF","IDF_meso","IDFdm","IDFdm_WA","Washington Dry Mild IDF","Interior Douglas-fir","Dry Mild","Washington","NE Washington","IDF dmy","USA","WA",""
"84","USA_2019","IDF","IDF_meso","IDFdm","IDFdm_MT","Montana Dry Mild IDF","Interior Douglas-fir","Dry Mild","Montana","NW Montana","IDF dmz","USA","MT",""
"85","USA_2019","IDF","IDF_cool","IDFdk","IDFdk_MT","Montana Dry Cool IDF","Interior Douglas-fir","Dry Cool","Montana","NC Montana","IDF dxz","USA","MT",""
"86","USA_2019","IDF","IDF","IDFdh","IDFdh_UT","Utah Dry Hot IDF","Interior Douglas-fir","Dry Hot","Utah","E Nevada & Utah & W Colorado","IDF utz","USA","UT",""
"87","USA_2019","IDF","IDF_hot","IDFxh","IDFxh_WA","Washington Very Dry Hot IDF","Interior Douglas-fir","Very Dry Hot","Washington","WC Washington","IDF xhy","USA","WA",""
"88","USA_2019","IDF","IDF_hot","IDFxh","IDFxh_ID","Idaho Very Dry Hot IDF","Interior Douglas-fir","Very Dry Hot","Idaho","WC Idaho","IDF xhz","USA","ID",""
"89","BGCv11","IDF","IDF_hot","IDFxw","IDFxw","Very Dry Warm IDF","Interior Douglas-fir","Very Dry Warm","","","IDF xw","BC","BC",""
"90","USA_2019","IDF","IDF_hot","IDFxx","IDFxx_MT","Montana Very Dry Very Hot IDF","Interior Douglas-fir","Very Dry Very Hot","Montana","NW Montana","IDF xxy","USA","MT",""
"91","USA_2019","IDF","IDF","IDFdx","IDFdx_MT","Montana Dry Very Hot IDF","Interior Douglas-fir","Dry Very Hot","Montana","SW Montana & S Idaho","IDF xxz","USA","MT",""
"92","USA_2019","IDF","IDF_hot","IDFxx","IDFxx_WA","Washington Very Dry Very Hot IDF","Interior Douglas-fir","Very Dry Very Hot","Washington","WC Washington","IDF xyz","USA","WA",""
"93","USA_2019","IGF","IGF_meso","IGFdk","IGFdk_WA","Washington Dry Cool IGF","Interior Grand Fir","Dry Cool","Washington","WC Washington","IGF dmz","USA","WA",""
"94","USA_2019","IGF","IGF_meso","IGFmm","IGFmm_OR","Oregon Moist Mild IGF","Interior Grand Fir","Moist Mild","Oregon","NE Oregon & SW Idaho","IGF mmz","USA","OR",""
"95","USA_2019","IGF","IGF_dry","IGFdw","IGFdw_OR","Oregon Dry Warm IGF","Interior Grand Fir","Dry Warm","Oregon","NW Oregon & SC Washington","IGF mwz","USA","OR",""
"96","USA_2019","IMA","IMA","IMAun","IMAun_CO","Colorado Undifferentiated IMA","Interior Mountain-heather Alpine","Undifferentiated","Colorado","Colorado","IMA us","USA","CO",""
"97","USA_2023","IMA","IMA","IMAun","IMAun_ID","Idaho Undifferentiated IMA","Interior Mountain-heather Alpine","Undifferentiated","Idaho","Idaho","IMA us","USA","WY",""
"98","USA_2019","IMA","IMA","IMAun","IMAun_MT","Montana Undifferentiated IMA","Interior Mountain-heather Alpine","Undifferentiated","Montana","Montana","IMA us","USA","MT",""
"99","USA_2023","IMA","IMA","IMAun","IMAun_OR","Oregon Undifferentiated IMA","Interior Mountain-heather Alpine","Undifferentiated","Oregon","Oregon","IMA us","USA","WY",""
"100","USA_2019","IMA","IMA","IMAun","IMAun_WA","Washington Undifferentiated IMA","Interior Mountain-heather Alpine","Undifferentiated","Washington","Washington","IMA us","USA","WA",""
"101","USA_2019","IMA","IMA","IMAun","IMAun_WY","Wyoming Undifferentiated IMA","Interior Mountain-heather Alpine","Undifferentiated","Wyoming","Wyoming","IMA us","USA","WY",""
"102","USA_2019","IWF","IWF","IWFdm","IWFdm_CO","Colorado Dry Mild IWF","Interior White Fir","Dry Mild","Colorado","S Colorado","IWF cow","USA","CO",""
"103","USA_2019","IWF","IWF","IWFdw","IWFdw_OR","Oregon Dry Warm IWF","Interior White Fir","Dry Warm","Oregon","C Oregon","IWF dcz","USA","OR",""
"104","USA_2019","IWF","IWF","IWFxm","IWFxm_CA","Nevada Very Dry Mild IWF","Interior White Fir","Very Dry Mild","Nevada","E California & W Nevada","IWF nvy","USA","NV",""
"105","USA_2019","JPW","JPW","JPWdw","JPWdw_UT","Utah Dry Warm JPW","Juniper – Pine Woodland","Dry Warm","Utah","E Utah & W Colorado","JPW cop","USA","UT",""
"106","USA_2019","JPW","JPW","JPWxw","JPWxw_NV","Nevada Very Dry Warm JPW","Juniper – Pine Woodland","Very Dry Warm","Nevada","Nevada & W Utah","JPW gbz","USA","NV",""
"107","USA_2019","JPW","JPW","JPWwm","JPWwm_CO","Colorado Wet Mild JPW","Juniper – Pine Woodland","Wet Mild","Colorado","S Colorado","JPW srm","USA","CO",""
"108","USA_2019","JPW","JPW","JPWdm","JPWdm_WY","Wyoming Dry Mild JPW","Juniper – Pine Woodland","Dry Mild","Wyoming","Wyoming","JPW wy","USA","WY",""
"109","USA_2019","MDCH","MDCH","MDCHun","MDCHun_NV","Nevada Undifferentiated MDCH","Madrean Chaparral","Undifferentiated","Nevada","Nevada & Utah & Arizona","MDCH un","USA","NV",""
"110","USA_2019","MGP","MGP","MGPmw","MGPmw_MT","Montana Moist Warm MGP","Mixed-grass Prairie","Moist Warm","Montana","Montana & E Wyoming","MGP un","USA","MT",""
"111","USA_2019","MH","MH_maritime","MHdm","MHdm_OR","Oregon Dry Maritime MH","Mountain Hemlock","Dry Maritime","Oregon","SW Washington & W Oregon","MH  dmz","USA","OR",""
"112","USA_2019","MH","MH_submaritme","MHds","MHds_OR","Oregon Dry Submaritime MH","Mountain Hemlock","Dry Submaritime","Oregon","W Oregon","MH  dsz","USA","OR",""
"113","USA_2019","MH","MH_submaritme","MHds","MHds_WA","Washinton Dry Submaritime MH","Mountain Hemlock","Dry Submaritime","Washinton","W Washington","MH  dsz","USA","WA",""
"114","USA_2019","MH","MH_maritime","MHmm","MHmm_WA","Washington Moist Maritime MH","Mountain Hemlock","Moist Maritime","Washington","NW Washington","MH  mmz","USA","WA",""
"115","USA_2019","MH","MH_submaritme","MHms","MHms_WA","Washington Moist Submaritime MH","Mountain Hemlock","Moist Submaritime","Washington","NW Washington","MH  msz","USA","WA",""
"116","USA_2019","MHRF","MHRF","MHRFdm","MHRFdm_OR","Oregon Dry Maritime MHRF","Mountain Hemlock Cedar – Shasta Red Fir","Dry Maritime","Oregon","SW Oregon & California","MHRFmmz","USA","OR",""
"117","USA_2019","MHRF","MHRF","MHRFds","MHRFds_CA","California Dry Submaritime MHRF","Mountain Hemlock Cedar – Shasta Red Fir","Dry Submaritime","California","SW Oregon & California","MHRFmsz","USA","CA",""
"118","USA_2019","MHRF","MHRF","MHRFmm","MHRFmm_OR","Oregon Moist Maritime MHRF","Mountain Hemlock Cedar – Shasta Red Fir","Moist Maritime","Oregon","Oregon","MHRFwmz","USA","OR",""
"119","USA_2019","MS","MS_dry","MSxm","MSxm_CO","Colorado Very Dry Mild MS","Montane Spruce","Very Dry Mild","Colorado","C & N Colorado","MS  coa","USA","CO",""
"120","USA_2019","MS","MS_meso","MSdk","MSdk_CO","Colorado Dry Cool MS","Montane Spruce","Dry Cool","Colorado","C Colorado & S Wyoming","MS  cow","USA","CO",""
"121","USA_2019","MS","MS_meso","MSdm","MSdm_WA","Washington Dry Mild MS","Montane Spruce","Dry Mild","Washington","NW & NC Washington","MS  dmz","USA","WA",""
"122","USA_2019","MS","MS_meso","MSdw","MSdw_MT","Montana Dry Warm MS","Montane Spruce","Dry Warm","Montana","NW Montana","MS  dwz","USA","MT",""
"123","USA_2019","MS","MS_dry","MSxx","MSxx_NV","Nevada Very Dry Very Hot MS","Montane Spruce","Very Dry Very Hot","Nevada","C Nevada","MS  nvz","USA","CO",""
"124","USA_2019","MS","MS_meso","MSdh","MSdh_UT","Utah Dry Hot MS","Montane Spruce","Dry Hot","Utah","Utah & E Nevada & NW Colorado","MS  utz","USA","UT",""
"125","USA_2019","MS","MS_dry","MSxh","MSxh_OR","Oregon Very Dry Hot MS","Montane Spruce","Very Dry Hot","Oregon","NE Oregon","MS  xcy","USA","OR",""
"126","USA_2019","MS","MS_dry","MSxk","MSxk_WA","Washington Very Dry Cool MS","Montane Spruce","Very Dry Cool","Washington","NW Washington","MS  xkz","USA","WA",""
"127","USA_2019","MS","MS_meso","MSmm","MSmm_ID","Idaho Moist Mild MS","Montane Spruce","Moist Mild","Idaho","C Idaho & SW Montana","MS  xmz","USA","ID",""
"128","USA_2019","MS","MS_meso","MSdh","MSdh_WY","Wyoming Dry Hot MS","Montane Spruce","Dry Hot","Wyoming","S Idaho & S Montana & Wyoming","MS  xxz","USA","WY",""
"129","AB_2020","MS","MS_meso","MSab","MSabN","Northern Alberta North MS","Montane Spruce","Alberta North","Northern","SW Alberta","MSFPab","AB","AB",""
"130","AB_2020","MS","MS_meso","MSab","MSabS","Southern Alberta South MS","Montane Spruce","Alberta South","Southern","SW Alberta","MSFPab","AB","AB",""
"131","USA_2019","MSSD","MSSD","MSSDun","MSSDun_NV","Nevada Undifferentiated MSSD","Mojave – Sonoran Semi-Desert","Undifferentiated","Nevada","E California & S Nevada","MSSD un","USA","NV",""
"132","USA_2019","OW","OW","OWun","OWun_CA","California Undifferentiated OW","Oak Woodland","Undifferentiated","California","C California","OW  caz","USA","CA",""
"133","USA_2019","PP","PP","PPxh","PPxh_CO","Colorado Very Dry Hot PP","Ponderosa Pine","Very Dry Hot","Colorado","Colorado","PP  coz","USA","CO",""
"134","USA_2019","PP","PP","PPxm","PPxm_OR","Oregon Very Dry Mild PP","Ponderosa Pine","Very Dry Mild","Oregon","C Oregon & NE California","PP  orz","USA","OR",""
"135","USA_2019","PP","PP","PPxk","PPxk_OR","Oregon Very Dry Cool PP","Ponderosa Pine","Very Dry Cool","Oregon","SC Oregon","PP  pum","USA","OR",""
"136","USA_2019","PP","PP","PPmx","PPmx_WY","Wyoming Moist Very Hot PP","Ponderosa Pine","Moist Very Hot","Wyoming","NE Wyoming","PP  wy","USA","WY",""
"137","USA_2019","PP","PP","PPxh","PPxh_WA","Washington Very Dry Hot PP","Ponderosa Pine","Very Dry Hot","Washington","NE Washington & SW Idaho","PP  xhz","USA","WA",""
"138","USA_2019","PP","PP","PPxw","PPxw_MT","Montana Very Dry Warm PP","Ponderosa Pine","Very Dry Warm","Montana","S Montana & NE Wyoming","PP  xxz","USA","MT",""
"139","USA_2019","PP","PP","PPxx","PPxx_OR","Oregon Very Dry Very Hot PP","Ponderosa Pine","Very Dry Very Hot","Oregon","SC Washington & NC Oregon","PP  xyz","USA","OR",""
"140","AB_2018","SAS","SAS","SASbo","SASbo","Boreal SAS","Sub-arctic Spruce","Boreal","","N Alberta","SAWSbo","AB","AB",""
"141","AB_2018","BSJP","BSJP","BSJPku","BSJPku","Kazan Upland BSJP","Boreal Spruce and Jack Pine","Kazan Upland","","NE Alberta","SAWSku","AB","AB",""
"142","AB_2018","SBAP","SBAP","SBAPcp","SBAPcp","Central Parkland SBAP","Sub-boreal Aspen Parkland","Central Parkland","","EC Alberta","SBAPcp","AB","AB","No classification. Use edatopic space and ecosites from adjacent Boreal Mixedwood"
"143","AB_2018","SBAP","SBAP","SBAPfp","SBAPfp","Foothills Parkland SBAP","Sub-boreal Aspen Parkland","Foothills Parkland","","SW Alberta","SBAPfp","AB","AB",""
"144","AB_2018","BWBS","BWBS_warm","BWBSlf","BWBSlf","Lower Foothills BWBS","Boreal White and Black Spruce","Lower Foothills","","WC Alberta","SBPAlf","AB","AB",""
"145","AB_2018","BWBS","BWBS_warm","BWBSuf","BWBSuf","Upper Foothills BWBS","Boreal White and Black Spruce","Upper Foothills","","WC Alberta","SBPAuf","AB","AB",""
"146","USA_2019","SGP","SGP","SGPdm","SGPdm_CO","Colorado Dry Mild SGP","Shortgrass Prairie","Dry Mild","Colorado","Colorado & SE Wyoming","SGP un","USA","CO",""
